tt0123055;movie;The Elf Who Didn't Believe;The Elf Who Didn't Believe;0;2000;\N;90;Comedy,Family;3.7;135
tt0123581;movie;Burning Down the House;Burning Down the House;0;2001;\N;84;Comedy;4.8;71
tt0123694;movie;Close Up;Close Up;1;\N;\N;\N;Adult
tt0124278;movie;American Neurotic;American Neurotic;0;2001;\N;\N;\N
tt0124359;movie;Deep Blue;Deep Blue;0;2001;\N;\N;Romance,Thriller;2.9;100
tt0124889;movie;Sticks;Sticks;0;2001;\N;92;Comedy,Crime;5.3;110
tt0125022;movie;Heartbreakers;Heartbreakers;0;2001;\N;123;Comedy,Crime,Romance;6.2;54100
tt0125449;movie;Over the Summer;Over the Summer;0;\N;\N;97;Drama
tt0125742;movie;FVVA: Femme, villa, voiture, argent;FVVA: Femme, villa, voiture, argent;0;2010;\N;75;\N;7.6;16
tt0125751;movie;Flora Plum;Flora Plum;0;\N;\N;\N;Drama,Romance
tt0126029;movie;Shrek;Shrek;0;2001;\N;90;Adventure,Animation,Comedy;7.9;657985
tt0126899;movie;Eyes Are Upon You;Eyes Are Upon You;0;2001;\N;92;Crime,Thriller;2.8;107
tt0127100;movie;Penthouse Pleasures;Penthouse Pleasures;1;\N;\N;\N;Adult
tt0127349;movie;Waking the Dead;Waking the Dead;0;2000;\N;105;Drama,Mystery,Romance;6.5;7198
tt0128129;movie;Cizinci v case;Cizinci v case;0;2000;\N;\N;\N
tt0128154;movie;Daybreak;Daybreak;0;2002;\N;87;Crime,Mystery,Thriller;7.7;20
tt0128158;movie;Deadfall;Deadfall;0;2000;\N;86;Horror;4.7;103
tt0128165;movie;Blazin';Blazin';0;2001;\N;100;Action,Crime;4.0;73
tt0128216;movie;Flophouse;Flophouse;0;2002;\N;75;Comedy;3.3;291
tt0128997;movie;Olhar o Cinema Português: 1896-2006;Olhar o Cinema Português: 1896-2006;0;2007;\N;55;Biography,Documentary;5.5;18
tt0129095;movie;Flamingo Dreams;Flamingo Dreams;0;2000;\N;\N;Drama;7.4;18
tt0129447;movie;Transsexual Secretary;Transsexual Secretary;1;\N;\N;\N;Adult
tt0129457;movie;Triangle of Love;Triangle of Love;1;\N;\N;\N;Adult
tt0130255;movie;Shivam;Shivam;0;2002;\N;\N;Action,Drama,Thriller;4.9;65
tt0130458;movie;Anikó;Anikó;0;2000;\N;70;Documentary
tt0130623;movie;Dinosaur;Dinosaur;0;2000;\N;82;Adventure,Animation,Drama;6.4;59361
tt0131264;movie;All About Leslie;All About Leslie;1;\N;\N;\N;Adult
tt0131370;movie;Elektra, avagy bevezetés a kapitalizmus politikai gazdaságtanába;Elektra, avagy bevezetés a kapitalizmus politikai gazdaságtanába;0;2003;\N;83;Documentary;8.5;15
tt0131597;movie;Split;Split;0;2004;\N;700;Action,Crime,Sci-Fi;4.8;24
tt0131704;movie;The Adventures of Rocky & Bullwinkle;The Adventures of Rocky & Bullwinkle;0;2000;\N;92;Adventure,Animation,Comedy;4.2;20246
tt0131767;movie;Anatomy of a Whorehouse;Anatomy of a Whorehouse;1;\N;\N;\N;Adult
tt0131768;movie;And Now the Cane;And Now the Cane;1;\N;\N;\N;Adult
tt0131953;movie;Battina;Battina;1;\N;\N;\N;Adult
tt0132078;movie;Dead by Monday;Dead by Monday;0;2001;\N;94;Comedy;6.1;237
tt0132245;movie;Driven;Driven;0;2001;\N;116;Action,Drama,Sport;4.6;40988
tt0132460;movie;Radio Riots;Radio Riots;0;\N;\N;\N;\N
tt0132885;movie;BlackMale;BlackMale;0;2000;\N;90;Thriller;4.6;383
tt0132910;movie;The Crow: Salvation;The Crow: Salvation;0;2000;\N;102;Action,Crime,Fantasy;4.9;11491
tt0133063;movie;Lightmaker;Lightmaker;0;2001;\N;89;Fantasy;7.7;329
